State Abbreviation,Release Year,fips,Premature death ratio,Low birthweight ratio,Access to exercise opportunities ratio,Sexually transmitted infections ratio,Uninsured ratio,Primary care physicians ratio,Mental health providers ratio,date,county,state,cases,deaths,confirmed_cases,confirmed_deaths,ST,STATE,ST_ABBR,STCNTY,COUNTY,SumPop,Sum_HU,Sum_HH,Mean_EP_POV,Mean_EP_UNEMP,MEAN_EP_POV,MEAN_EP_UNEMP,MEAN_EP_PCI,MEAN_EP_NOHSDP,MEAN_EP_AGE65,MEAN_EP_AGE17,MEAN_EP_DISABL,MEAN_EP_SNGPNT,MEAN_EP_MUNIT,MEAN_EP_MOBILE,MEAN_EP_CROWD,MEAN_EP_NOVEH,MEAN_EP_GROUPQ,MEAN_EP_UNINSUR
TX,2020,48363,0.0063373765795911126,0.07857142857142857,0.47291096012237205,0.0026601330066503325,0.21962964584336558,0.0004200210010500525,0.0002077922077922078,2020-10-09,Palo Pinto,Texas,623,16,623,2,48,TEXAS,TX,48363,Palo Pinto,28317,15449,10312,18.8,8.288888888888888,18.8,8.288888888888888,24802.222222222223,17.422222222222224,18.633333333333333,23.822222222222223,17.799999999999997,9.999999999999998,5.088888888888888,14.277777777777779,4.811111111111111,7.444444444444445,0.6222222222222222,19.2
TX,2020,48365,0.006258617217393999,0.07770441848654139,0.39380568162716423,0.003355849072839134,0.18610381957465044,0.0003441896484963215,8.640055296353897e-05,2020-10-09,Panola,Texas,415,26,415,108,48,TEXAS,TX,48365,Panola,23440,11145,8827,15.5,4.216666666666667,15.5,4.216666666666667,26790.0,16.533333333333335,18.2,23.299999999999997,16.36666666666667,7.816666666666666,0.9333333333333332,32.9,3.3000000000000003,3.9499999999999997,1.1500000000000001,17.783333333333335
TX,2020,48367,0.004436338802876738,0.06754351265822785,0.5257724905282783,0.002644927807707005,0.15318544809228038,0.0004420700868405476,0.0005347941403906888,2020-10-09,Parker,Texas,2096,38,2096,1,48,TEXAS,TX,48367,Parker,129802,49492,44255,9.131578947368421,5.273684210526315,9.131578947368421,5.273684210526315,32920.0,11.921052631578947,15.105263157894736,24.64736842105263,13.389473684210527,7.115789473684211,2.5210526315789474,19.77894736842105,3.0736842105263156,2.763157894736842,1.4894736842105265,14.931578947368417
TX,2020,48369,0.0034739813273503657,0.06945681211041853,0.7445710390495667,0.003657793131477342,0.2869368833947462,0.000203210729526519,0.0,2020-10-09,Parmer,Texas,452,12,452,108,48,TEXAS,TX,48369,Parmer,9852,3793,3318,16.549999999999997,1.35,16.549999999999997,1.35,23684.5,29.3,12.95,29.25,13.6,10.05,3.35,12.75,10.15,4.800000000000001,0.75,20.450000000000003
TX,2020,48371,0.004081541118162858,0.09569377990430622,0.5549751725027406,0.0031981578610720224,0.22926237323394297,0.0004477421005500832,0.00025521597652013015,2020-10-09,Pecos,Texas,403,5,403,108,48,TEXAS,TX,48371,Pecos,15797,5673,4557,12.45,3.3,12.45,3.3,21544.25,29.75,13.05,25.475,11.325,7.4,4.625,21.675,5.55,3.9,8.95,20.0
TX,2020,48373,0.007484651041704331,0.07080884410859221,0.398784489022967,0.002522273300516659,0.22487398702275196,0.0005898864977014768,0.00041973976134796425,2020-10-09,Polk,Texas,1178,25,885,25,48,TEXAS,TX,48373,Polk,47837,25121,17803,17.779999999999998,7.55,17.779999999999998,7.55,25468.4,18.419999999999998,19.699999999999996,20.82,21.560000000000002,9.66,1.5000000000000002,26.3,3.71,5.76,5.89,18.509999999999998
TX,2020,48375,0.005473796247291611,0.09632002383790227,0.7090433044526856,0.009131813578176625,0.23537066365387913,0.0007471483836689966,0.0020058839261834715,2020-10-09,Potter,Texas,6611,76,6611,76,48,TEXAS,TX,48375,Potter,120899,49656,43944,20.226470588235298,4.391176470588236,20.226470588235298,4.391176470588236,21853.79411764706,22.43235294117647,12.279411764705886,26.900000000000006,11.576470588235294,11.28529411764706,10.270588235294117,7.550000000000002,5.5588235294117645,7.841176470588236,3.1500000000000004,20.905882352941177
TX,2020,48377,0.00321285140562249,0.07985257985257985,0.9457661806088513,0.002794857462269424,0.2903579254930606,0.00027948574622694243,0.0004317789291882556,2020-10-09,Presidio,Texas,97,7,97,108,48,TEXAS,TX,48377,Presidio,7123,4043,2627,30.85,9.4,30.85,9.4,17222.0,41.85,22.0,28.2,20.1,9.25,0.9,23.15,7.25,9.65,0.1,28.8
TX,2020,48379,0.0072588467194393165,0.07017543859649122,0.518508337914605,0.0026356061894235675,0.2264384641369215,0.00017003910899506886,0.0004112180277983387,2020-10-09,Rains,Texas,76,5,76,108,48,TEXAS,TX,48379,Rains,11473,5369,4331,11.45,5.25,11.45,5.25,25634.5,15.3,24.15,20.25,18.45,6.25,1.0,23.75,4.8,3.25,0.5,20.299999999999997
TX,2020,48381,0.003948260891367402,0.07703601347266603,0.9200993994615863,0.0016140789336665626,0.13207931489501137,0.000595052141443894,0.000873259901226233,2020-10-09,Randall,Texas,3659,49,3659,49,48,TEXAS,TX,48381,Randall,132475,54389,49187,9.079310344827586,3.2724137931034476,9.079310344827586,3.2724137931034476,33745.68965517241,8.386206896551725,15.006896551724141,23.413793103448278,12.06206896551724,8.044827586206896,10.344827586206897,5.865517241379311,2.127586206896552,3.151724137931035,1.5724137931034483,10.906896551724136
